Clan,Session,LOCATION,DAY,MONTH,YEAR,DATE,START,STOP,hyena_count,lion_count,food_present,no_intx_yes_no,numMobs,SessLength
oltukai,200307006,k,12,7,2003,37814,6:59,8:53,27,3,1,0,2,114
airstrip,200309013,k,3,9,2003,37867,6:15,7:15,3,13,1,0,0,60
oltukai,200309027,o,5,9,2003,37869,8:19,8:24,1,3,0,0,NaN,5
oltukai,200310019,k,7,10,2003,37901,8:35,10:24,16,2,1,0,1,109
oltukai,200310094,k,18,10,2003,37912,18:50,19:25,16,1,1,0,0,35
oltukai,200310132,c,23,10,2003,37917,6:04,6:09,1,2,0,1,NaN,5
oltukai,200310139,o,23,10,2003,37917,18:00,18:30,1,2,0,1,NaN,30
Amboseli,200311032,o,15,11,2003,37940,18:06,18:11,1,1,0,0,0,5
oltukai,200311111,k,24,11,2003,37949,7:08,8:35,26,4,1,0,1,87
oltukai,200311157,k,30,11,2003,37955,6:53,8:41,26,6,1,0,0,108
oltukai,200311158,k,30,11,2003,37955,9:27,9:39,15,3,1,1,0,12
oltukai,200312053,o,7,12,2003,37962,19:03,19:08,1,3,0,0,0,5
oltukai,200312069,k,9,12,2003,37964,6:51,7:06,11,7,0,1,NaN,15
oltukai,200312071,k,9,12,2003,37964,7:19,7:47,8,11,0,1,NaN,28
oltukai,200312115,d,13,12,2003,37968,17:43,18:23,4,3,0,0,0,40
oltukai,200401026.1,k,3,1,2004,37989,6:56,7:59,3,8,1,1,NaN,63
oltukai,200401034,c,4,1,2004,37990,7:23,8:51,11,9,1,0,0,88
airstrip,200401069,k,8,1,2004,37994,6:17,7:33,19,12,1,0,0,76
oltukai,200401071,o,8,1,2004,37994,17:23,17:35,1,1,0,1,0,12
airstrip,200401083,k,9,1,2004,37995,7:30,8:30,17,1,1,1,NaN,60
airstrip,200401127,k,14,1,2004,38000,6:34,7:37,14,2,1,0,0,63
oltukai,200404068,k,14,4,2004,38091,8:16,9:21,15,3,1,0,0,65
Amboseli,200404128,k,27,4,2004,38104,8:24,9:01,15,7,1,0,1,37
Amboseli,200404134,c,28,4,2004,38105,6:34,7:14,20,7,1,0,0,40
Amboseli,200404138,c,29,4,2004,38106,6:24,6:29,12,7,1,1,NaN,5
oltukai,200405212,k,27,5,2004,38134,6:12,7:43,25,6,1,0,2,91
oltukai,200406045,k,7,6,2004,38145,6:44,7:34,11,1,1,0,0,50
oltukai,200406046,k,7,6,2004,38145,7:48,8:17,18,3,1,0,1,29
oltukai,200406106,k,12,6,2004,38150,7:44,8:13,21,6,1,0,0,29
oltukai,200407016,o,3,7,2004,38171,6:55,7:40,7,4,0,0,0,45
oltukai,200407182,k,28,7,2004,38196,7:21,8:42,9,4,1,0,0,81
oltukai,200408174,k,27,8,2004,38226,6:41,7:11,4,3,1,0,0,30
oltukai,200408198,d,30,8,2004,38229,18:09,18:20,6,5,0,1,NaN,11
oltukai,200409062,o,6,9,2004,38236,6:25,6:30,3,7,0,1,0,5
oltukai,200409155,o,19,9,2004,38249,18:06,18:11,1,3,0,1,NaN,5
oltukai,200409217,o,30,9,2004,38260,18:33,18:41,1,5,0,0,0,8
oltukai,200410126,d,13,10,2004,38273,6:09,6:40,14,2,0,0,2,31
oltukai,200410159,k,17,10,2004,38277,6:17,7:42,10,2,1,0,0,85
Amboseli,200410230,k,25,10,2004,38285,7:31,7:44,15,6,1,1,0,13
oltukai,200410246,d,28,10,2004,38288,6:10,6:27,4,2,0,0,0,17
oltukai,200411006,k,19,11,2004,38310,7:29,8:33,20,6,1,0,5,64
oltukai,200411025,d,20,11,2004,38311,17:54,18:40,10,1,0,1,0,46
oltukai,200411028,k,21,11,2004,38312,6:00,6:35,13,8,1,0,0,35
oltukai,200411033,d,22,11,2004,38313,5:51,6:03,8,7,0,0,0,12
oltukai,200411034,o,22,11,2004,38313,6:06,6:35,NaN,NaN,0,0,0,29
oltukai,200411052,o,24,11,2004,38315,6:33,7:01,15,6,0,0,6,28
oltukai,200411053,o,24,11,2004,38315,7:03,7:08,6,6,0,1,0,5
oltukai,200411091,k,29,11,2004,38320,5:53,6:49,13,8,1,0,0,56
oltukai,200411093,k,29,11,2004,38320,7:08,7:58,12,9,1,0,0,50
oltukai,200412040,k,6,12,2004,38327,6:55,7:56,15,6,1,1,0,61
oltukai,200412065,k,10,12,2004,38331,6:24,7:19,24,6,1,0,2,55
oltukai,200412100,c,17,12,2004,38338,7:38,8:13,1,3,1,1,0,35
oltukai,200501142,d,17,1,2005,38369,6:40,7:55,12,8,0,0,4,75
oltukai,200501156,k,19,1,2005,38371,7:16,8:52,29,3,1,0,1,96
airstrip,200502040,k,5,2,2005,38388,6:32,9:28,22,4,1,0,7,176
airstrip,200502051,o,6,2,2005,38389,7:16,7:49,1,7,0,1,NaN,33
airstrip,200502066,k,11,2,2005,38394,6:38,6:52,6,2,1,1,0,14
airstrip,200502200,k,25,2,2005,38408,7:50,7:58,3,4,1,1,NaN,8
oltukai,200503038,k,5,3,2005,38416,6:55,7:29,3,8,1,1,0,34
oltukai,200503134,k,13,3,2005,38424,6:41,8:03,15,6,1,0,2,82
oltukai,200504064,o,9,4,2005,38451,7:07,7:13,2,1,0,1,NaN,6
Amboseli,200505185,o,23,5,2005,38495,17:46,18:17,1,7,0,0,0,31
oltukai,200505260,o,30,5,2005,38502,18:48,19:02,1,4,0,1,0,14
Amboseli,200506083,o,8,6,2005,38511,18:16,18:45,1,10,0,1,0,29
oltukai,200506181,o,15,6,2005,38518,18:19,18:50,4,2,0,1,0,31
oltukai,200506207,c,17,6,2005,38520,17:41,17:47,2,4,1,1,0,6
oltukai,200506311,o,28,6,2005,38531,17:34,17:39,1,2,0,1,NaN,5
oltukai,200506313,o,28,6,2005,38531,17:52,18:01,1,4,0,1,0,9
oltukai,200506320,d,29,6,2005,38532,6:53,7:08,10,2,0,0,0,15
oltukai,200506336,o,30,6,2005,38533,9:24,9:38,1,2,0,1,NaN,14
airstrip,200507062,k,6,7,2005,38539,7:17,7:22,11,2,1,1,0,5
airstrip,200507095,k,8,7,2005,38541,6:38,9:05,22,2,1,0,6,147
oltukai,200507096,k,8,7,2005,38541,9:47,10:24,29,6,1,0,3,37
oltukai,200507097,c,9,7,2005,38542,5:59,6:30,25,7,1,0,0,31
oltukai,200507109,o,9,7,2005,38542,17:27,17:32,4,4,0,1,NaN,5
FigTree,100053,o,9,6,2007,39242,8:12,8:17,2,1,0,1,NaN,5
FigTree,100055,c,10,6,2007,39243,7:01,8:30,19,3,1,0,3,89
FigTree,100199,c,6,7,2007,39269,7:01,7:08,13,1,1,0,0,7
FigTree,100249,d,13,7,2007,39276,18:09,19:29,17,1,0,0,0,80
FigTree,100305,c,16,7,2007,39279,8:04,8:29,13,1,1,1,0,25
FigTree,100359.15,d,5,8,2007,39299,7:06,8:12,19,3,0,0,4,66
FigTree,100369,c,12,11,2007,39398,6:14,6:36,10,2,1,0,0,22
FigTree,100638,o,12,4,2008,39550,18:41,19:10,14,12,0,0,0,29
FigTree,100682,o,21,4,2008,39559,7:41,7:46,1,1,0,1,0,5
FigTree,100729,o,5,5,2008,39573,7:27,7:32,5,1,0,1,NaN,5
FigTree,100736,c,16,5,2008,39584,7:09,7:27,7,1,0,1,NaN,18
FigTree,100779,c,15,11,2008,39767,5:58,6:03,3,8,1,0,NaN,5
FigTree,100915,c,11,6,2009,39975,7:34,8:34,11,1,0,1,0,60
FigTree,101325,k,18,12,2009,40165,6:27,7:11,28,2,1,0,1,44
FigTree,101494,o,8,4,2010,40276,6:34,6:39,2,3,0,1,NaN,5
FigTree,101784,c,16,9,2011,40802,6:06,6:11,5,7,1,1,0,5
FigTree,101821,o,17,10,2011,40833,6:36,6:50,4,2,0,1,NaN,14
FigTree,102445,k,29,7,2013,41484,8:29,8:42,1,4,1,1,0,13
FigTree,102459,c,8,8,2013,41494,6:53,7:16,7,3,1,0,0,23
FigTree,102464,k,8,8,2013,41494,18:29,19:08,12,3,1,1,0,39
FigTree,102634,c,23,4,2014,41752,17:57,18:42,30,2,1,0,1,45
FigTree,102667,c,10,5,2014,41769,6:59,7:46,14,2,0,1,NaN,47
FigTree,102774,k,2,11,2014,41945,6:17,7:45,29,2,1,0,8,88
FigTree,102781,o,3,11,2014,41946,18:15,18:20,1,2,0,1,NaN,5
happy.zebra,S0.12,k,24,6,2008,39623,6:39,7:10,6,1,1,0,0,31
happy.zebra,S0.16,o,24,6,2008,39623,16:47,16:52,2,1,0,1,NaN,5
happy.zebra,S0.21,o,26,6,2008,39625,17:50,17:55,4,2,0,1,NaN,5
happy.zebra,S1257,o,26,11,2010,40508,7:08,7:52,13,1,0,0,3,44
serena.n,S1606,o,8,11,2008,39760,17:52,17:53,1,1,0,1,NaN,5
serena.n,S1648,c,16,11,2008,39768,17:41,18:10,4,2,1,1,NaN,29
serena.n,S2058,o,8,6,2009,39972,6:43,7:03,4,2,0,0,0,20
serena.n,S2098,k,21,6,2009,39985,8:23,9:33,15,1,1,0,0,70
serena.n,S2271,o,26,8,2009,40051,5:53,5:54,2,1,0,1,NaN,5
serena.n,S2324,o,22,9,2009,40078,7:21,7:36,3,1,0,1,NaN,15
serena.n,S2548,k,12,3,2010,40249,7:02,7:53,5,4,0,1,NaN,51
serena.n,S2794,o,14,5,2010,40312,18:19,18:50,5,5,0,0,0,31
serena.n,S2798,o,16,5,2010,40314,17:30,18:50,6,2,0,0,0,80
serena.n,S2864,o,3,6,2010,40332,6:08,6:09,1,5,1,1,NaN,5
serena.n,S2902,k,13,6,2010,40342,6:30,9:36,22,6,1,1,NaN,186
serena.n,S3177,k,4,11,2010,40486,5:59,6:10,1,3,1,0,0,11
serena.n,S3179,k,4,11,2010,40486,6:32,7:48,6,3,1,0,1,76
serena.n,S3303,k,20,12,2010,40532,7:49,8:30,10,1,1,1,NaN,41
serena.s,S3460,o,10,2,2009,39854,17:51,17:56,1,5,0,1,NaN,5
serena.s,S3488,c,19,2,2009,39863,18:18,19:04,22,2,1,0,0,46
serena.s,S3526,o,12,3,2009,39884,6:36,7:07,8,3,0,1,NaN,31
serena.s,S3620,k,29,5,2009,39962,18:05,19:06,13,2,1,0,0,61
serena.s,S3672,c,3,7,2009,39997,7:51,8:48,5,6,1,0,0,57
serena.s,S3676,c,3,7,2009,39997,19:01,19:13,2,6,1,1,NaN,12
serena.s,S3834,d,10,10,2009,40096,6:43,7:48,16,3,0,0,4,65
serena.s,S3938,d,26,12,2009,40173,18:31,19:06,11,1,0,1,NaN,35
serena.s,S3985,o,20,1,2010,40198,7:20,7:25,1,8,0,0,NaN,5
serena.s,S4031,o,9,3,2010,40246,18:01,18:02,1,7,0,1,NaN,5
serena.s,S4082,o,3,4,2010,40271,7:38,7:40,1,3,0,1,NaN,5
serena.s,S4564,d,18,12,2010,40530,7:00,8:02,7,1,0,1,NaN,62
serena.s,S4660,o,6,1,2011,40549,7:32,7:40,1,1,0,1,NaN,8
serena.s,S4663,d,6,1,2011,40549,6:28,7:30,NaN,3,0,1,NaN,62
serena.s,S4709,o,17,1,2011,40560,18:38,18:39,3,3,0,1,NaN,5
happy.zebra,S472,k,5,4,2009,39908,18:37,19:12,17,5,1,1,NaN,35
happy.zebra,S485,k,10,4,2009,39913,17:58,18:33,14,13,1,1,NaN,35
serena.s,S4886,d,21,2,2011,40595,6:21,7:28,18,1,0,1,NaN,67
serena.s,S4944,o,26,3,2011,40628,7:16,7:32,1,3,0,1,NaN,16
serena.n,S5188,o,5,7,2011,40729,7:01,7:18,5,6,0,1,NaN,17
serena.s,S5280,d,4,8,2011,40759,16:24,18:46,13,1,0,1,NaN,142
serena.s,S5434,k,16,10,2011,40832,8:26,9:36,9,9,1,0,2,70
happy.zebra,S545,o,5,5,2009,39938,6:44,7:16,9,2,0,1,0,32
serena.s,S5609,k,11,11,2011,40858,6:10,6:57,10,3,1,1,NaN,47
serena.s,S5751,c,23,11,2011,40870,6:42,7:02,3,5,0,1,NaN,20
serena.s,S5803,k,30,11,2011,40877,9:01,9:49,31,7,1,0,0,48
serena.s,S5891.1,o,20,12,2011,40897,7:06,7:13,5,4,0,1,NaN,7
serena.n,S5974,k,15,1,2011,40558,6:48,10:30,28,10,1,0,2,222
serena.n,S6216,o,2,4,2011,40635,17:48,18:35,9,1,0,1,0,47
serena.n,S6220,c,4,4,2011,40637,7:18,7:57,11,11,1,0,1,39
serena.n,S6325,d,16,5,2011,40679,5:51,7:10,23,3,0,0,0,79
serena.n,S6326,o,16,5,2011,40679,7:11,8:26,6,3,0,0,0,75
serena.n,S6395,o,26,5,2011,40689,18:53,18:54,2,2,0,1,NaN,5
happy.zebra,S642,k,13,6,2009,39977,6:24,8:49,15,4,1,1,NaN,145
happy.zebra,S644,o,13,6,2009,39977,18:27,18:39,6,4,0,1,NaN,12
happy.zebra,S648,c,14,6,2009,39978,6:26,7:23,14,4,1,1,NaN,57
serena.n,S6975,o,29,9,2011,40815,18:06,18:16,1,3,0,1,NaN,10
serena.n,S7096,m,8,11,2011,40855,9:00,9:33,4,1,0,1,NaN,33
happy.zebra,S7390,d,13,5,2011,40676,18:01,19:02,7,2,0,1,NaN,61
happy.zebra,S7393,o,15,5,2011,40678,7:15,7:26,1,1,0,1,NaN,11
happy.zebra,S7508,k,24,6,2011,40718,6:51,8:30,12,5,1,0,0,99
happy.zebra,S7512,k,29,6,2011,40723,6:31,8:51,14,5,1,0,0,140
happy.zebra,S896,o,18,11,2009,40135,7:37,7:59,1,2,0,1,NaN,22
happy.zebra,S953,c,13,1,2010,40191,6:59,7:11,5,3,1,1,NaN,12
happy.zebra,S986,o,20,2,2010,40229,8:19,9:15,2,1,0,1,NaN,56
talek,17,d,2,7,1988,32326,6:34,6:49,9,1,0,1,NaN,15
talek,17.1,o,2,7,1988,32326,6:55,7:00,5,1,0,1,NaN,5
talek,53.5,k,19,7,1988,32343,8:02,8:12,1,2,1,1,NaN,10
talek,65,d,22,7,1988,32346,7:54,8:21,4,2,0,1,0,27
talek,66,k,22,7,1988,32346,17:40,17:56,6,1,1,1,NaN,16
talek,127.2,o,8,9,1988,32394,17:45,17:54,4,3,0,1,NaN,9
talek,135.2,d,12,9,1988,32398,6:28,6:51,4,2,0,0,1,23
talek,167,d,10,10,1988,32426,17:41,18:44,14,4,0,1,NaN,63
talek,206,d,21,11,1988,32468,17:30,18:59,23,5,0,1,0,89
talek,209.1,k,22,11,1988,32469,18:52,18:57,NaN,1,1,1,NaN,5
talek,221.3,o,27,11,1988,32474,7:53,8:10,1,3,1,0,0,17
talek,236,k,3,12,1988,32480,6:24,7:00,3,2,1,1,NaN,36
talek,269,o,20,12,1988,32497,6:32,7:19,9,2,0,0,0,47
talek,290.5,d,29,12,1988,32506,7:10,7:15,3,1,1,1,NaN,5
talek,339,o,16,1,1989,32524,17:05,18:04,13,NaN,0,1,NaN,59
talek,339.1,o,16,1,1989,32524,18:17,18:44,21,1,1,0,0,27
talek,379,d,12,2,1989,32551,18:42,19:17,15,NaN,0,1,NaN,35
talek,458,k,25,3,1989,32592,7:45,8:37,28,1,1,0,0,52
talek,461,d,26,3,1989,32593,17:37,18:53,20,NaN,0,1,NaN,76
talek,465.1,o,28,3,1989,32595,7:19,7:24,3,NaN,0,1,NaN,5
talek,467.6,o,29,3,1989,32596,7:15,7:20,3,1,0,1,NaN,5
talek,524,d,21,5,1989,32649,17:00,18:36,21,NaN,0,1,NaN,96
talek,554,o,30,5,1989,32658,7:09,7:39,22,2,0,0,0,30
talek,567,k,3,6,1989,32662,7:30,8:54,28,2,1,0,0,84
talek,671,o,10,8,1989,32730,6:54,8:20,20,2,0,0,4,86
talek,708.5,o,9,9,1989,32760,17:35,18:09,3,9,1,1,NaN,34
talek,732.4,o,19,9,1989,32770,6:08,6:13,1,1,0,1,NaN,5
talek,733,k,19,9,1989,32770,6:27,7:50,25,1,1,0,0,83
talek,785,d,19,10,1989,32800,6:14,7:18,13,1,0,1,NaN,64
talek,843,o,15,11,1989,32827,7:30,8:14,8,3,0,1,NaN,44
talek,864,o,25,11,1989,32837,6:11,8:23,31,3,0,0,0,132
talek,867.1,o,26,11,1989,32838,6:08,6:13,4,2,0,0,0,5
talek,867.2,k,25,11,1989,32837,19:02,19:12,12,NaN,1,1,NaN,10
talek,879,k,2,12,1989,32844,6:46,8:06,23,3,1,0,0,80
talek,888,k,13,12,1989,32855,7:05,7:52,27,2,1,1,NaN,47
talek,888.1,k,13,12,1989,32855,10:30,14:30,27,2,1,1,NaN,240
talek,888.2,k,13,12,1989,32855,14:30,15:30,27,2,1,1,NaN,60
talek,889,k,13,12,1989,32855,16:54,18:54,30,2,1,0,3,120
talek,891,k,14,12,1989,32856,6:43,7:59,27,1,1,1,NaN,76
talek,905.3,o,19,12,1989,32861,6:22,6:27,2,2,0,1,NaN,5
talek,908.1,k,19,12,1989,32861,18:30,18:40,3,2,1,1,NaN,10
talek,908.2,d,19,12,1989,32861,18:50,18:55,5,2,0,0,0,5
talek,936.2,k,13,1,1990,32886,18:30,18:45,9,3,1,0,1,15
talek,1013.3,o,11,4,1990,32974,17:26,18:17,10,15,1,0,0,51
talek,1018,d,14,4,1990,32977,17:19,18:55,8,NaN,0,1,NaN,96
talek,1021.7,o,16,4,1990,32979,18:32,18:37,6,4,0,1,NaN,5
talek,1038.3,k,25,4,1990,32988,18:25,18:45,22,1,1,0,0,20
talek,1040.3,d,27,4,1990,32990,6:26,7:42,25,NaN,1,1,0,76
talek,1088.2,o,5,6,1990,33029,7:24,7:56,3,1,0,0,0,32
talek,1110.3,k,27,6,1990,33051,7:00,10:10,39,2,1,0,1,190
talek,1140,k,2,8,1990,33087,6:43,9:28,25,NaN,1,0,2,165
talek,1190,k,21,8,1990,33106,6:30,8:12,30,2,1,1,0,102
talek,1198.1,o,25,8,1990,33110,6:56,7:01,2,2,0,1,NaN,5
talek,1209,k,31,8,1990,33116,9:00,9:29,11,6,1,0,0,29
talek,1213,d,3,9,1990,33119,6:36,7:48,14,NaN,0,1,NaN,72
talek,1238,k,19,9,1990,33135,7:00,7:08,2,6,1,1,0,8
talek,1245,k,24,9,1990,33140,7:08,7:26,1,2,1,0,0,18
talek,1247,d,24,9,1990,33140,17:59,18:50,10,NaN,0,1,NaN,51
talek,1287,k,18,10,1990,33164,6:27,7:13,3,1,1,1,0,46
talek,1311,o,11,11,1990,33188,7:16,8:25,1,2,1,1,0,69
talek,1360,k,22,12,1990,33229,7:00,8:20,8,1,1,0,0,80
talek,1361,d,23,12,1990,33230,17:44,18:39,2,NaN,0,1,0,55
talek,1365,o,24,12,1990,33231,7:22,7:27,29,2,1,1,NaN,5
talek,1369,d,25,12,1990,33232,17:58,19:01,8,NaN,0,1,NaN,63
talek,1373,d,27,12,1990,33234,17:32,19:12,14,NaN,0,1,0,100
talek,1374,k,28,12,1990,33235,7:22,7:32,21,NaN,1,1,0,10
talek,1386,k,31,12,1990,33238,6:15,8:42,24,2,1,0,0,147
talek,1388,d,1,1,1991,33239,6:16,6:27,5,NaN,0,1,NaN,11
talek,1388.2,o,1,1,1991,33239,7:06,7:16,5,1,1,1,0,10
talek,1389,o,1,1,1991,33239,7:26,7:54,7,1,0,1,0,28
talek,1411,o,7,1,1991,33245,18:36,19:04,3,NaN,0,1,0,28
talek,1468.1,o,2,2,1991,33271,7:20,8:18,3,21,0,1,NaN,58
talek,1480.2,o,8,2,1991,33277,7:23,7:28,1,5,0,1,NaN,5
talek,1525.3,o,9,3,1991,33306,7:05,7:20,3,1,0,1,NaN,15
talek,1529.1,d,11,3,1991,33308,6:40,6:55,8,2,0,1,NaN,15
talek,1569.3,o,27,5,1991,33385,6:58,10:28,16,9,1,0,0,210
talek,1578.1,o,4,6,1991,33393,17:30,18:02,5,9,0,1,NaN,32
talek,1589,o,16,6,1991,33405,6:44,8:00,2,1,0,1,0,76
talek,1598,k,28,6,1991,33417,17:10,18:34,5,1,1,0,0,84
talek,1602.1,k,30,6,1991,33419,17:33,18:38,14,7,1,1,0,65
talek,1603.1,k,1,7,1991,33420,6:34,8:15,18,1,1,0,0,101
talek,1605,k,2,7,1991,33421,16:20,19:00,19,5,1,0,0,160
talek,1612,k,6,7,1991,33425,17:20,17:31,1,9,1,1,NaN,11
talek,1625,o,12,7,1991,33431,6:35,6:40,6,4,0,1,NaN,5
talek,1627,k,13,7,1991,33432,6:07,7:10,15,7,1,0,0,63
